,0,1,2,3,4,5,6,7,8,9,10,11
0,0,,,,,,,,,,,
1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,
2,1,2.0,1.0,2.0,1.0,2.0,1.0,2.0,,,,
3,1,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,,,
4,1,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,,
5,1,5.0,1.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,,
6,1,6.0,1.0,6.0,1.0,6.0,1.0,6.0,1.0,6.0,,
7,4,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,,
8,4,5.0,6.0,4.0,5.0,6.0,4.0,5.0,6.0,4.0,5.0,6.0
9,4,7.0,4.0,7.0,4.0,7.0,4.0,7.0,,,,
10,1,8.0,1.0,8.0,1.0,8.0,1.0,8.0,1.0,8.0,,
11,1,9.0,1.0,9.0,1.0,9.0,1.0,9.0,1.0,9.0,,
12,1,10.0,1.0,10.0,1.0,10.0,1.0,10.0,1.0,10.0,,
