,accuracy,auc,datasets_list
0,0.986,0.9992139999999999,"(1, 2)"
1,0.989,0.9971052976214668,"(1, 3)"
2,0.97,0.997962,"(1, 4)"
3,0.953,0.9909020000000001,"(1, 5)"
4,0.927,0.9846230158730159,"(1, 6)"
5,0.945,0.991012,"(1, 7)"
6,0.984,0.998626,"(1, 8)"
7,0.968,0.9963320000000001,"(1, 9)"
8,0.952,0.989598,"(1, 10)"
9,0.954,0.991994,"(1, 11)"
10,0.982,0.999716,"(1, 12)"
11,0.983,0.9973003763604923,"(2, 3)"
12,0.96,0.993752,"(2, 4)"
13,0.938,0.9869140000000001,"(2, 5)"
14,0.907,0.978214,"(2, 6)"
15,0.936,0.9860439999999999,"(2, 7)"
16,0.966,0.99586,"(2, 8)"
17,0.966,0.995168,"(2, 9)"
18,0.935,0.9766720000000001,"(2, 10)"
19,0.946,0.9803040000000001,"(2, 11)"
20,0.977,0.9993100000000001,"(2, 12)"
21,0.971,0.9962256968301424,"(3, 4)"
22,0.923,0.9811654467028299,"(3, 5)"
23,0.915,0.9714998432283887,"(3, 6)"
24,0.925,0.9780438874578957,"(3, 7)"
25,0.966,0.9956283488108327,"(3, 8)"
26,0.968,0.9950876335731108,"(3, 9)"
27,0.943,0.9863240857503153,"(3, 10)"
28,0.961,0.9930973451327434,"(3, 11)"
29,0.986,0.9978624568084057,"(3, 12)"
30,0.916,0.9738899999999999,"(4, 5)"
31,0.899,0.9678573714614904,"(4, 6)"
32,0.895,0.9593400000000001,"(4, 7)"
33,0.951,0.9897579999999999,"(4, 8)"
34,0.946,0.9882360000000001,"(4, 9)"
35,0.933,0.975714,"(4, 10)"
36,0.925,0.976066,"(4, 11)"
37,0.965,0.995906,"(4, 12)"
38,0.859,0.9404510472167554,"(5, 6)"
39,0.869,0.9450959999999999,"(5, 7)"
40,0.936,0.9832599999999999,"(5, 8)"
41,0.919,0.9738399999999999,"(5, 9)"
42,0.903,0.9591179999999999,"(5, 10)"
43,0.892,0.9583759999999999,"(5, 11)"
44,0.944,0.985998,"(5, 12)"
45,0.874,0.950974862391193,"(6, 7)"
46,0.92,0.980996,"(6, 8)"
47,0.914,0.9723455575289204,"(6, 9)"
48,0.906,0.961727550563236,"(6, 10)"
49,0.895,0.955359250413081,"(6, 11)"
50,0.941,0.9871674848270262,"(6, 12)"
51,0.923,0.97889,"(7, 8)"
52,0.923,0.9824700000000001,"(7, 9)"
53,0.902,0.96021,"(7, 10)"
54,0.892,0.958296,"(7, 11)"
55,0.936,0.9816520000000001,"(7, 12)"
56,0.965,0.99504,"(8, 9)"
57,0.929,0.981232,"(8, 10)"
58,0.939,0.982394,"(8, 11)"
59,0.973,0.9976119999999999,"(8, 12)"
60,0.932,0.97555,"(9, 10)"
61,0.921,0.97468,"(9, 11)"
62,0.985,0.998874,"(9, 12)"
63,0.913,0.968656,"(10, 11)"
64,0.954,0.9876039999999999,"(10, 12)"
65,0.955,0.987572,"(11, 12)"
66,0.97997997997998,0.9975357704276411,"(1, 2, 3)"
67,0.964964964964965,0.9950100200400801,"(1, 2, 4)"
68,0.954954954954955,0.9929959919839678,"(1, 2, 5)"
69,0.9429429429429429,0.9898175536477246,"(1, 2, 6)"
70,0.9629629629629629,0.9947975951903808,"(1, 2, 7)"
71,0.972972972972973,0.9980380761523046,"(1, 2, 8)"
72,0.970970970970971,0.9970981963927856,"(1, 2, 9)"
