,accuracy,auc,datasets_list
0,0.993,0.9996826365578273,"[1, 3]"
1,0.9569569569569569,0.9877424201037968,"[3, 9, 10]"
2,0.94,0.9861519446077784,"[1, 5, 6, 11, 12]"
3,0.944,0.9920458404074703,"[1, 3, 7, 9]"
4,0.93,0.9836576063341862,"[2, 3, 4, 5, 6, 8, 10, 12]"
5,0.91,0.9712961629544291,"[2, 3, 5, 6, 8, 9, 10, 11]"
6,0.92,0.975274294828272,"[1, 2, 3, 5, 6, 8, 9, 10, 11, 12]"
7,0.8868868868868869,0.959290254831702,"[1, 4, 5, 6, 7, 8, 10, 11, 12]"
8,0.9094567404426559,0.9652003743725006,"[2, 3, 4, 5, 7, 8, 10]"
9,0.868,0.9544932718923503,"[4, 5, 6, 7, 8, 10, 11, 12]"
10,0.883,0.9524178096712387,"[5, 6, 7, 9, 10]"
